"NOME_FANTASIA","SITUACAO_CADASTRAL","DATA_INICIO_ATIVIDADE","CNAE_FISCAL_PRINCIPAL","CNPJ"
"LEST MADEIRAS","2","20170811","1610203","28399118000153"
"MADEIRAS DU NORTE","2","20210420","1610203","41639990000190"
"BRASAO MADEIRAS","2","20211228","1610203","44691230000110"
"J B MADEIRAS","8","20220315","1610203","45655935000144"
"RRX TIMBER EXPORT LTDA","2","20221202","220901","29325091000389"
"FAZENDA PALOMA","2","19971211","8211300","2670169000184"
"M. I. DOS SANTOS PACHECO LIMA LTDA","2","20040603","1622602","6284994000100"
"RIO GRANDE PRODUCAO FLORESTAL LTDA","2","19800909","230600","4670469000199"
"AMOREAP","2","20060302","9430800","7860839000149"
"FOX LUMBER DO ACRE","2","20010823","1610203","4642220000170"
"CRISTALINA INDUSTRIA MADEIREIRA E SERVICOS","2","20090408","4313400","10749178000193"
"COAMA","2","20141104","133401","21346429000105"
"FLORESTAL AMAZONIA","2","20150226","1610203","21958623000141"
"MADEIREIRA INOVACAO","2","20161014","1610203","26353937000134"
"AGREGUE TECNOLOGIA - FILIAL LARANJAL DO JARI","2","20170919","210107","20138169000624"
"MANOA SUSTENTÃVEL EXPLORAÃÃO E SERVIÃOS FLORESTAIS LTDA","2","20171114","220901","84639632000270"
"ATRA","2","20190719","220901","35309677000190"
"COOPAMJ","2","20190628","220901","34058287000122"
"MADEIREIRA L. W. L.","2","20211130","1610203","44434691000107"
"MADEIREIRA CALCARIO","2","20220329","1610203","45833339000107"
"MORIA MADEIRAS","2","20230602","1610203","50918398000118"
"SULMAP","2","19881005","1610203","14958532000221"
"MADEIREIRA VENECIANA","2","19980722","1610203","2640398000156"
"MADEIREIRA BATISTA","2","19880425","1610204","22839815000100"
"MADEIRAS NAKAMEX","2","19881110","4671100","81068199000191"
"APRAC","4","19980616","121101","2639773000148"
"G L MAFFI","2","19970808","1610203","2023852000120"
"MADEIREIRA GOMES","2","20100108","1610203","11449473000197"
"FAQUIMAD","2","20121016","1621800","17095387000100"
"SAMISE","2","20141001","220901","5334363000268"
"MADEIREIRA JCN","4","20140210","1610203","19693053000163"
"RIO MADEIRAS","8","20180322","4671100","30012110000134"
"BENEVIDES MADEIRAS LTDA","2","20180814","1610203","3278503000200"
"CEMAL COMERCIO ECOLOGICO DE MADEIRAS LTDA","2","20180820","220901","6036051000230"
"LOPES FARM HOLDING","2","20190506","6462000","33535304000102"
"MADEIREIRA RENASCER","2","20200129","1610203","36169295000171"
"MADECK MADEIRAS","2","20220615","1610203","46792363000108"
"MADEIREIRA RIO DOCE","2","20221209","1610203","48853464000177"
"XG1 PARTICIPACOES","2","20230728","6822600","51605375000116"
"AMOREX-CM/XAPURI","2","19950113","9430800","393247000115"
"INDUSTRIA E COMERCIO DE MADEIRAS MATTOS LTDA","2","19970815","1610203","2113916000183"
"TUMENORTE","2","19851107","151201","5880117000120"
"MADEIREIRA SANDALLO","2","20010605","1621800","4541838000143"
"INDUSTRIA E COMERCIO DE MADEIRAS MATTOS LTDA","2","19981021","9430800","2831001000103"
"PATAUA FLORESTAL","2","20110124","220901","13148025000189"
"REAL MADEIRAS INDUSTRIA E COMERCIO","2","20111222","1610203","14797585000127"
"MADEFLONA FILIAL 1","2","20130226","220901","10372884000240"
"BRASAD'OC TIMBER COMERCIO DE MADEIRAS LTDA.","2","20101201","4671100","12965204000146"
"LOCACOES E SERVICOS BORCHARDT","2","20100401","7732201","11766646000109"
"MADEIREIRA BARCELONA","2","20101008","1610203","12645961000132"
"DIORA MADEIRAS","2","20120309","4671100","15167766000132"
"S F INDUSTRIA DA MADEIRA","4","20111025","1610203","14516446000188"
"FLORA NORTE MADEIRAS","2","20071008","1610203","9111065000189"
"CAPITAL LOCACAO","2","20130321","1610203","17793021000104"
"MADEFLONA","2","20131216","220901","10372884000401"
"COOPERATIVA MISTA AGROEXTRATIVISTA DO RIO INAMBÃ","8","20161122","1610203","26579253000155"
"ALFA MADEIRAS","2","20170811","1610203","28399481000179"
"FAZENDA AGROMAZA","2","20180403","151201","5215132004907"
"ASSOCIACAO AUTI PARANA","2","20180803","9430800","31146451000165"
"N M M MACIEL DA SILVA","2","20190412","4671100","33341960000174"
"ABUNA SERVICOS EM MADEIRA","2","20190514","1610203","33615159000170"
"LACOMP LAMINAS E COMPENSADOS","2","20200528","1610203","37258866000107"
"BASE MADEIRAS","2","20210130","1610203","40636182000106"
"SAO MIGUEL MADEIRAS","2","20220627","1610203","46922593000144"
"ASSOCIACAO AGRO-EXTRATIVISTA SAO FRANCISCO DE ASSIS DO RIO LIBERDADE","2","20030113","9430800","5494665000112"
"CACIQUE MADEIRAS LTDA","2","19940929","4671100","22827471000372"
"MADSEB","2","20050215","1621800","7223293000115"
"BEMAL","2","19990714","1610203","3278503000111"
"CEREALISTA MACEDO","2","19870210","151201","15841869000136"
"FSV PROJETOS AMBIENTAIS","2","20050930","230600","7615618000105"
"LAMIART MADEIRAS","2","20060105","1610203","7772404000142"
"RADAN","2","20021230","6810201","5460280000134"
"DEPOSITO DE MADEIRA MONTE NEGRO","2","20060801","1610203","8190468000106"
"EUROPA INDUSTRIA E COMERCIO EIRELI","2","20070510","4744002","8809967000120"
"MADEIREIRA TANGARA","2","20071101","4744099","9168412000100"
"MADEIREIRA ABSOLUTA","2","20090312","1610203","10686915000156"
